,Open,High,Low,Close,Volume
2023.06.01 08:00:00,0.81488,0.81578,0.81479,0.81509,100
2023.06.01 09:00:00,0.81509,0.81578,0.81469,0.81492,100
2023.06.01 10:00:00,0.8149,0.81508,0.81371,0.8142,100
2023.06.01 11:00:00,0.81421,0.81564,0.81381,0.81534,100
2023.06.01 12:00:00,0.8154,0.81584,0.8149,0.81565,100
2023.06.01 13:00:00,0.81564,0.81677,0.81563,0.81656,100
2023.06.01 14:00:00,0.81656,0.81717,0.81592,0.81683,100
2023.06.01 15:00:00,0.81682,0.81693,0.81461,0.81583,100
2023.06.01 16:00:00,0.81585,0.81729,0.81569,0.81648,100
2023.06.01 17:00:00,0.81641,0.81832,0.81607,0.8179,100
2023.06.01 18:00:00,0.81788,0.81856,0.81627,0.81639,100
2023.06.01 19:00:00,0.81639,0.81694,0.81545,0.81558,100
2023.06.01 20:00:00,0.81558,0.81594,0.81537,0.81573,100
2023.06.01 21:00:00,0.81573,0.81613,0.81513,0.81548,100
2023.06.01 22:00:00,0.81547,0.81643,0.8154,0.81643,100
2023.06.01 23:00:00,0.81643,0.81665,0.81601,0.81639,100
2023.06.02 00:00:00,0.81601,0.81619,0.80934,0.81589,100
2023.06.02 01:00:00,0.81567,0.81635,0.81532,0.81627,100
2023.06.02 02:00:00,0.81626,0.81635,0.81532,0.81532,100
2023.06.02 03:00:00,0.81531,0.81568,0.8147,0.81526,100
2023.06.02 04:00:00,0.81526,0.81661,0.81498,0.81632,100
2023.06.02 05:00:00,0.81636,0.81742,0.81626,0.81721,100
2023.06.02 06:00:00,0.81717,0.81994,0.81713,0.81968,100
2023.06.02 07:00:00,0.81969,0.81993,0.81787,0.81811,100
2023.06.02 08:00:00,0.8181,0.81884,0.81809,0.81866,100
2023.06.02 09:00:00,0.81869,0.8195,0.81752,0.81828,100
2023.06.02 10:00:00,0.81829,0.81881,0.81782,0.81786,100
2023.06.02 11:00:00,0.81786,0.81934,0.81755,0.8191,100
2023.06.02 12:00:00,0.81912,0.81914,0.81812,0.8189,100
2023.06.02 13:00:00,0.8189,0.81933,0.81768,0.81774,100
2023.06.02 14:00:00,0.81773,0.81792,0.81698,0.81761,100
2023.06.02 15:00:00,0.81762,0.81902,0.81666,0.81735,100
2023.06.02 16:00:00,0.8173,0.81846,0.81647,0.81693,100
2023.06.02 17:00:00,0.81692,0.81711,0.81577,0.81581,100
2023.06.02 18:00:00,0.81579,0.81625,0.81556,0.81569,100
2023.06.02 19:00:00,0.81569,0.81602,0.81517,0.81527,100
2023.06.02 20:00:00,0.81525,0.81556,0.81467,0.81475,100
2023.06.02 21:00:00,0.81475,0.81492,0.81424,0.81446,100
2023.06.02 22:00:00,0.8145,0.81455,0.81347,0.81347,100
2023.06.02 23:00:00,0.81346,0.81371,0.81223,0.81343,100
2023.06.05 00:00:00,0.8113,0.81375,0.8113,0.81312,100
2023.06.05 01:00:00,0.81305,0.81307,0.81218,0.81279,100
2023.06.05 02:00:00,0.81274,0.81346,0.81274,0.81336,100
2023.06.05 03:00:00,0.81337,0.81344,0.81256,0.81303,100
2023.06.05 04:00:00,0.81304,0.81383,0.8125,0.81337,100
2023.06.05 05:00:00,0.81335,0.81399,0.8128,0.81388,100
2023.06.05 06:00:00,0.81385,0.8148,0.81385,0.81467,100
2023.06.05 07:00:00,0.81467,0.8147,0.81385,0.81447,100
2023.06.05 08:00:00,0.81448,0.81494,0.81401,0.81474,100
2023.06.05 09:00:00,0.81473,0.81518,0.81341,0.81377,100
2023.06.05 10:00:00,0.81378,0.81378,0.81185,0.81265,100
2023.06.05 11:00:00,0.81264,0.81353,0.81182,0.81346,100
2023.06.05 12:00:00,0.81343,0.81351,0.81258,0.81327,100
2023.06.05 13:00:00,0.81326,0.81372,0.81288,0.81369,100
2023.06.05 14:00:00,0.81369,0.81385,0.81255,0.81296,100
2023.06.05 15:00:00,0.813,0.81401,0.81271,0.81381,100
2023.06.05 16:00:00,0.8138,0.81447,0.8133,0.81372,100
2023.06.05 17:00:00,0.81363,0.81752,0.8136,0.81575,100
2023.06.05 18:00:00,0.81575,0.81612,0.81513,0.81612,100
2023.06.05 19:00:00,0.81615,0.81645,0.81548,0.81561,100
2023.06.05 20:00:00,0.8156,0.81619,0.81523,0.81612,100
2023.06.05 21:00:00,0.81611,0.8165,0.81605,0.81609,100
2023.06.05 22:00:00,0.81609,0.81621,0.81567,0.81577,100
2023.06.05 23:00:00,0.81576,0.81626,0.8157,0.81599,100
2023.06.06 00:00:00,0.81584,0.81595,0.81286,0.81583,100
2023.06.06 01:00:00,0.81574,0.81626,0.81553,0.81613,100
2023.06.06 02:00:00,0.81614,0.81645,0.81598,0.81639,100
2023.06.06 03:00:00,0.81638,0.81679,0.81617,0.81642,100
2023.06.06 04:00:00,0.81642,0.81647,0.81561,0.81622,100
2023.06.06 05:00:00,0.8162,0.8166,0.81591,0.81626,100
2023.06.06 06:00:00,0.81625,0.81629,0.81581,0.81593,100
2023.06.06 07:00:00,0.81592,0.81817,0.81547,0.81618,100
2023.06.06 08:00:00,0.81619,0.8165,0.81574,0.81648,100
2023.06.06 09:00:00,0.81649,0.81723,0.81561,0.81586,100
2023.06.06 10:00:00,0.81584,0.81624,0.81494,0.81579,100
2023.06.06 11:00:00,0.81575,0.81669,0.81551,0.81645,100
2023.06.06 12:00:00,0.81648,0.81682,0.81491,0.81498,100
2023.06.06 13:00:00,0.81496,0.81617,0.81489,0.8159,100
2023.06.06 14:00:00,0.81591,0.81654,0.81579,0.81594,100
2023.06.06 15:00:00,0.81592,0.81613,0.81372,0.8147,100
2023.06.06 16:00:00,0.81471,0.81551,0.81253,0.81306,100
2023.06.06 17:00:00,0.81304,0.8136,0.81232,0.81319,100
2023.06.06 18:00:00,0.81318,0.81529,0.81281,0.81471,100
2023.06.06 19:00:00,0.81471,0.81569,0.81427,0.81431,100
2023.06.06 20:00:00,0.81436,0.8147,0.81414,0.81421,100
2023.06.06 21:00:00,0.8142,0.81458,0.81394,0.81425,100
2023.06.06 22:00:00,0.81387,0.81491,0.81387,0.81445,100
2023.06.06 23:00:00,0.81444,0.8146,0.81401,0.81423,100
2023.06.07 00:00:00,0.81429,0.81438,0.81305,0.81397,100
2023.06.07 01:00:00,0.81388,0.81478,0.81379,0.81473,100
2023.06.07 02:00:00,0.8147,0.81483,0.81407,0.81447,100
2023.06.07 03:00:00,0.81445,0.8155,0.8144,0.81483,100
2023.06.07 04:00:00,0.81484,0.81515,0.81399,0.81461,100
